id;email;jhi_type;contact_id;app_account_id
10;lealden1@networkadvertising.org;HOME;10;2
11;bschimonek2@google.de;WORK;11;2
12;imathissen3@harvard.edu;HOME;12;2
13;bwalch4@amazon.co.uk;WORK;13;2
14;nbatte5@mashable.com;HOME;14;2
15;dburgill6@apache.org;WORK;15;2
16;csindell7@reuters.com;HOME;16;2
17;sdennerley8@joomla.org;WORK;17;2
18;vnicholson9@nsw.gov.au;HOME;18;2
19;bambresina@cbsnews.com;WORK;19;2
20;kmogfordb@microsoft.com;HOME;20;2
21;wtearc@go.com;WORK;21;2
22;hmayberyd@arstechnica.com;HOME;22;2
23;ckytleye@vk.com;WORK;23;2
24;dportrissf@wunderground.com;HOME;24;2
25;rrubertg@theglobeandmail.com;WORK;25;2
26;jstormouthh@goo.gl;HOME;26;2
27;mtuilleri@toplist.cz;WORK;27;2
28;aspeechleyj@nifty.com;HOME;28;2
29;bokenfoldk@cdc.gov;WORK;29;2
30;lwoodyattl@eventbrite.com;HOME;30;2
