id;phone;jhi_type;contact_id
1;+75927953304;OTHER;966
2;+864444510788;WORK;571
3;+631113533935;OTHER;767
4;+557156795636;WORK;960
5;+9634326228043;OTHER;904
6;+466392534107;OTHER;921
7;+626246229872;OTHER;994
8;+3518951727807;OTHER;884
9;+2579491330382;OTHER;718
10;+2617512227393;OTHER;866
11;+6803487414370;MOBILE;939
12;+8509466055677;MOBILE;918
13;+2441204662451;WORK;690
14;+476485392364;MOBILE;910
15;+861039513024;MOBILE;882
16;+621018008604;MOBILE;556
17;+19965210187;MOBILE;944
18;+3585017356270;WORK;998
19;+308918475650;MOBILE;848
20;+332353369980;MOBILE;965
21;+273565086207;WORK;943
22;+545171440212;WORK;982
23;+9949665943863;OTHER;994
24;+76125776286;MOBILE;962
25;+865995662577;OTHER;840
26;+3584685644552;MOBILE;924
27;+75407177583;WORK;945
28;+72498014816;OTHER;810
29;+77377893084;MOBILE;966
30;+3516498375109;OTHER;609
31;+3563454527731;OTHER;934
32;+861162971317;MOBILE;949
33;+865919560369;WORK;925
34;+5047014640014;WORK;916
35;+513643686829;OTHER;985
36;+2123097088265;WORK;982
37;+3753017201606;WORK;923
38;+626969023372;OTHER;969
39;+629174130716;OTHER;684
40;+19274330565;OTHER;865
41;+3727631747091;OTHER;601
42;+864089958420;OTHER;918
43;+554178973756;WORK;941
44;+2349531594338;OTHER;937
45;+3822416358222;WORK;993
46;+2345202196417;OTHER;875
47;+488344886573;WORK;985
48;+635196016801;MOBILE;938
49;+861698782828;OTHER;577
50;+816245613818;MOBILE;960
51;+621678160389;OTHER;884
52;+2304457682234;MOBILE;457
53;+626051768017;MOBILE;845
54;+469206625636;WORK;485
55;+869055385737;MOBILE;786
56;+2692163440143;WORK;838
57;+3515103112482;MOBILE;928
58;+934052647577;OTHER;992
59;+445683982334;OTHER;931
60;+629639065373;OTHER;796
61;+865936653773;WORK;941
62;+631801044147;MOBILE;999
63;+3803434487602;OTHER;700
64;+867399298794;MOBILE;981
65;+3515277876194;MOBILE;937
66;+2314276828808;MOBILE;919
67;+557594079783;OTHER;846
68;+3583471537241;MOBILE;869
69;+2234481667884;OTHER;874
70;+2167233365797;OTHER;860
71;+3715171668556;OTHER;593
72;+9767023139354;WORK;903
73;+486872011973;OTHER;975
74;+332751960228;MOBILE;983
75;+6911578853786;OTHER;871
76;+3582629203521;MOBILE;911
77;+75671253611;OTHER;878
78;+867174371046;WORK;725
79;+77107849932;WORK;854
80;+625202441580;OTHER;720
81;+3518526561167;OTHER;877
82;+3745767594822;MOBILE;904
83;+2346767870805;OTHER;872
84;+865159830156;WORK;872
85;+626342663928;MOBILE;638
86;+861719086752;MOBILE;515
87;+629466268054;OTHER;906
88;+2345466455176;OTHER;991
89;+323739773677;OTHER;965
90;+78882355178;OTHER;717
91;+609051442932;MOBILE;939
92;+3855574474641;MOBILE;969
93;+861265897563;OTHER;961
94;+72591694217;OTHER;985
95;+553059185932;OTHER;994
96;+639359985028;WORK;978
97;+861354135895;OTHER;971
98;+631452262761;MOBILE;816
99;+553051931371;OTHER;343
100;+2389215210557;OTHER;975
101;+3739483332692;WORK;469
102;+861661244831;MOBILE;679
103;+78656381566;WORK;911
104;+628591938797;WORK;826
105;+3722697251706;OTHER;614
106;+72472363016;WORK;921
107;+555347662553;WORK;881
108;+602882770665;OTHER;974
109;+8805647911676;OTHER;946
110;+868179438920;OTHER;761
111;+629859755018;WORK;820
112;+477552131061;OTHER;808
113;+3806463638264;OTHER;344
114;+636707238528;OTHER;203
115;+15417452157;MOBILE;814
116;+5957908370508;OTHER;913
117;+2421482866366;MOBILE;877
118;+866941060218;MOBILE;979
119;+496537936459;WORK;724
120;+639539526208;OTHER;974
121;+848522342636;OTHER;957
122;+866209758975;OTHER;949
123;+519075994905;MOBILE;959
124;+625015113533;OTHER;783
125;+621012728651;MOBILE;913
126;+668303419032;MOBILE;911
127;+511414909899;MOBILE;314
128;+555604467719;WORK;949
129;+552212879230;MOBILE;825
130;+3514393787047;MOBILE;977
131;+622721049277;OTHER;890
132;+552858281708;OTHER;977
133;+541014135782;MOBILE;866
134;+861975302585;OTHER;967
135;+864317783328;OTHER;742
136;+813965198554;WORK;701
137;+633528909994;WORK;851
138;+271409067620;MOBILE;752
139;+862756066966;OTHER;874
140;+866535913654;WORK;991
141;+18503713686;OTHER;934
142;+863791279503;MOBILE;750
143;+862933457237;MOBILE;556
144;+621725935793;WORK;823
145;+76208867039;OTHER;982
146;+514596830823;OTHER;912
147;+72378976160;MOBILE;982
148;+77647236502;MOBILE;915
149;+276317896691;WORK;942
150;+4206566009989;OTHER;761
151;+863489048025;OTHER;815
152;+869951780488;MOBILE;516
153;+559017692709;OTHER;982
154;+867004716187;OTHER;969
155;+529197713521;MOBILE;894
156;+814606895550;WORK;921
157;+3582077973957;MOBILE;565
158;+2426516313539;MOBILE;805
159;+4201221221587;OTHER;836
160;+869642999116;MOBILE;981
